experiment_id,domain_size,GN,degree,objective_value,l2_approx_error,git_commit,timestamp,experiment_name,critical_points_count,x1,x2,x3,x4
minimal_4d_lv_test_0.12_20250930_095143,,,4,2.401292058828565,,,,,3,1.8705890616995713,1.5004890345230126,0.08908956856162506,0.08772582340876738
minimal_4d_lv_test_0.12_20250930_095143,,,4,2.4021829278536653,,,,,3,1.8639980057843917,1.508465880370071,0.10384278339272127,0.09869963221824782
minimal_4d_lv_test_0.12_20250930_095143,,,4,2.3909709922943416,,,,,3,1.8552626031251498,1.5003619961035843,0.10703667834327578,0.11045356298276611
minimal_4d_lv_test_0.12_20250930_095143,,,5,2.414798477062602,,,,,3,1.8872914658765223,1.4990952699277404,0.09431741768097385,0.11489214096611104
minimal_4d_lv_test_0.12_20250930_095143,,,5,2.3947545975478204,,,,,3,1.864730353553583,1.4962475641483848,0.10087097131971667,0.0932660974705947
minimal_4d_lv_test_0.12_20250930_095143,,,5,2.402071039268394,,,,,3,1.8657501210769305,1.5059520341017825,0.09533314388110312,0.10927866239944152
minimal_4d_lv_test_0.15_20250930_085207,,,4,2.4121370301871035,,,,,3,1.8867277082508997,1.4968552819603804,0.09673715995206873,0.09343336700497314
minimal_4d_lv_test_0.15_20250930_085207,,,4,2.4078056562416883,,,,,3,1.879878269468529,1.4966148879116847,0.10620450000653452,0.11158069577186408
minimal_4d_lv_test_0.15_20250930_085207,,,4,2.403245845691734,,,,,3,1.8756868998960505,1.4940728126856584,0.12575913141948913,0.09654180260955784
minimal_4d_lv_test_0.15_20250930_085207,,,5,2.4072621522611755,,,,,3,1.879381822969952,1.498901139027104,0.09243070486244657,0.08710323427479483
minimal_4d_lv_test_0.15_20250930_085207,,,5,2.4111357381663745,,,,,3,1.8793609344419344,1.5040181695125552,0.09591415065694779,0.10152756983453463
minimal_4d_lv_test_0.15_20250930_085207,,,5,2.4169622728134468,,,,,3,1.8932990121334514,1.4949430568372262,0.10983824495869327,0.10102621252231164
minimal_4d_lv_test_0.1_20250927_113401,,,4,2.3967404374311516,,,,,3,1.8640753934821332,1.4993882118189716,0.10523206161432747,0.10172932369186272
minimal_4d_lv_test_0.1_20250927_113401,,,4,2.4078527489002344,,,,,3,1.8793662356797431,1.4983101564224623,0.10496895153247505,0.09892222676848887
minimal_4d_lv_test_0.1_20250927_113401,,,4,2.3983775244947756,,,,,3,1.8589322221933264,1.50800444733997,0.11282229583412125,0.0988911505578599
minimal_4d_lv_test_0.1_20250927_113401,,,5,2.4022975729125666,,,,,3,1.8675452213334574,1.5030347675537306,0.10578898336144298,0.11403356356893933
minimal_4d_lv_test_0.1_20250927_113401,,,5,2.411068213308304,,,,,3,1.878495914050342,1.5060297737322128,0.09184540624759158,0.08911662081329869
minimal_4d_lv_test_0.1_20250927_113401,,,5,2.410077649536777,,,,,3,1.8644372948039016,1.5220869200480835,0.095008987282439,0.08107126923348615
minimal_4d_lv_test_0.1_20250930_085207,,,4,2.414653814184079,,,,,3,1.8829255896487058,1.5048997585511235,0.10972042256967006,0.09155551203339929
minimal_4d_lv_test_0.1_20250930_085207,,,4,2.415931363873929,,,,,3,1.866513759139676,1.5284405030708887,0.09415259809043734,0.08863215408218128
minimal_4d_lv_test_0.1_20250930_085207,,,4,2.391522573323795,,,,,3,1.860616815090701,1.4971297119732494,0.08235673843359409,0.09646387552072408
minimal_4d_lv_test_0.1_20250930_085207,,,5,2.402518338154796,,,,,3,1.8770835807285968,1.493455698166418,0.08833430737630475,0.10217007332774877
minimal_4d_lv_test_0.1_20250930_085207,,,5,2.4204947972802624,,,,,3,1.89082398767957,1.503047768332554,0.11105110578288686,0.10997622148116157
minimal_4d_lv_test_0.1_20250930_085207,,,5,2.3967134014967417,,,,,3,1.8717774771179159,1.4893770413672904,0.1031528066398562,0.10862657224873416
minimal_4d_lv_test_0.2_20250930_085207,,,4,2.400886269919203,,,,,3,1.862897839315652,1.5063978973363688,0.11914257665468114,0.10216135613952979
minimal_4d_lv_test_0.2_20250930_085207,,,4,2.412138152387622,,,,,3,1.8814492592174146,1.502414097953136,0.10241156286671206,0.10403317382967477
minimal_4d_lv_test_0.2_20250930_085207,,,4,2.3971160929411246,,,,,3,1.8765628049100749,1.4857201095144308,0.08829563048018975,0.09755634314532736
minimal_4d_lv_test_0.2_20250930_085207,,,5,2.4165249803011815,,,,,3,1.8889527302041196,1.501122140051458,0.0970253670729318,0.09310726215349985
minimal_4d_lv_test_0.2_20250930_085207,,,5,2.4018661773162218,,,,,3,1.8661345413028294,1.5028422607608527,0.11937675814899348,0.11712103302637096
minimal_4d_lv_test_0.2_20250930_085207,,,5,2.42508902387997,,,,,3,1.8887735718720249,1.5129603314220474,0.10373279850685949,0.11739552801585476
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,4,2.3995042946122447,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8687141098588405,1.4995285141789454,0.08817654196161417,0.09574741818484546
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,4,2.4039825910640675,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8735981448366121,1.4981799386627037,0.10239477822667728,0.11719415763782706
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,4,2.4106185182550286,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8821162643087548,1.498356972920656,0.11154242774408252,0.10585214542715066
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,5,2.393935115831346,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8714144415944363,1.4887843154546103,0.08304558385458564,0.07319849493550516
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,5,2.404158450896004,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8728425476456654,1.4999351436031723,0.1068890626040129,0.10586756832256845
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_202559,,,5,2.400085901602977,,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_202559,,3,1.8682730672247216,1.4994805483811031,0.12107845019907505,0.08286238760862037
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,4,2.2618793740512144,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.8802549534328477,1.5103357761453695,0.09737844033120995,0.08209642317808842
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,4,2.2517613171054394,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.8855248305098937,1.503833167463122,0.09690517609644177,0.11417410597474927
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,4,2.2435268014598098,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.872715907236927,1.4984531200146158,0.09885213853045563,0.10925025730568765
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,5,2.2561851363117214,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.8645393000448944,1.5069305584666752,0.10396509516147326,0.09008702386350805
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,5,2.2389682756814713,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.873170917061678,1.4949424267780416,0.0935786388278013,0.08318723746235163
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_203505,,,5,2.22653550310051,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_203505,,3,1.8667586091209118,1.4875148309445512,0.10656515264090986,0.11774146444095272
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,4,4.992730586454898,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.8627115382261652,1.4916784271554833,0.08663339054085233,0.10814260166571688
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,4,5.178789934662934,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.8846595445541505,1.5199787658060588,0.10231750113672114,0.11121384376636895
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,4,4.973188057229814,0.04,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.8712635623438292,1.4889654754958714,0.09176911380302605,0.09099466835025982
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,5,5.075921300548223,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.8775602877120485,1.5038528663926718,0.08158819644196462,0.09520726076636145
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,5,5.032228933933395,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.873478555170387,1.4979493870032543,0.09438835629947129,0.0929469108608185
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_204236,,,5,4.909635217165998,0.05,a2eaaca17df6c35c2ef6bba141789b66c10e3e63-dirty,20250929_204236,,3,1.8892816371920584,1.4800915873997327,0.10854224601912628,0.09469432316788069
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,4,4.898371682723246,0.04,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.8670046804642064,1.4775447697344934,0.09156729683464618,0.08671446543485899
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,4,5.034407442652591,0.04,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.858074177614826,1.4987573354810684,0.10934226213173029,0.0852544168617754
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,4,5.044100456319226,0.04,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.8817349273167272,1.5000002590454131,0.10110063521161708,0.09203597275021816
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,5,4.9780123778299465,0.05,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.8894285628186247,1.4898515621039272,0.09406558245087276,0.10929034965037497
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,5,4.987352545699629,0.05,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.8703961518110612,1.4918413234832086,0.10314355848053318,0.12134629857272466
minimal_4d_lv_test_GN=8_domain_size_param=0.1_max_time=45.0_20250929_211037,,,5,5.149337466944006,0.05,43cd2a0bbdad9cf3b23962838b6cf9284b6c96a8-dirty,20250929_211037,,3,1.864338171963466,1.5152682268549869,0.09505953825188931,0.10179998407186272
